@mightex_spectrum_save,2,2,0
2017-01-03 2:54:51 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 6.68000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.06242074080871E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.06242073080871E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.59882740059753E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.10080685571085E+0002, 1.00000000000000E-0007, 3.37352889308391E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 2.18000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.27222274562289E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.81960345366946E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.21643886246293E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.07682903831214E+0002, 1.59026240025595E+0002, 3.38425259984908E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 1.05999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.34623103519768E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.42814549549558E+0001, 1.00000000000000E-0007, 8.87088040111637E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.40000000000009E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 1.43400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.40229021720706E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.50357663523871E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.70312546950429E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.49103797219770E+0002, 5.51932553683192E+0001, 4.31127163986815E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 1.21000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.14055565898835E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.87504153753434E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.41444256312847E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.38360293200689E+0002, 2.53051505234920E+0001, 1.05119928069058E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.55999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.39004638921485E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.19400451494886E+0001, 1.00000000000000E-0007, 8.85697070544160E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 1.70000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.52398925431714E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.56172605657951E+0001, 1.00000000000000E-0007, 8.81701809454402E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 2.02000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.08586556850366E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.45309909515303E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.44722216249036E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.74223669075157E+0002, 1.14055565898835E+0002, 2.29001821837195E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 1.16240940039139E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
