@mightex_spectrum_save,2,2,0
2017-01-03 2:55:18 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 1.90000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.08424574948925E-0010, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.10080685571085E+0002, 1.00000000000000E-0007, 9.04171112524630E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 1.99000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.05091007297686E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.60647672720912E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.49715069308372E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.07682903831214E+0002, 1.59026240025595E+0002, 5.08815500651695E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 6.72000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.10928621154019E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.10928620154019E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.87827965222068E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.42814549549558E+0001, 1.00000000000000E-0007, 1.62520170333050E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 1.07800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.86205364187965E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.34272810504773E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.91255366129061E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.49103797219770E+0002, 5.51932553683192E+0001, 3.34951707014887E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 2.52000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.84101727351918E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.22750708940403E-0010, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.38360293200689E+0002, 2.53051505234920E+0001, 9.05329032241363E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.39004638921485E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.19400451494886E+0001, 1.00000000000000E-0007, 8.85697070544160E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 4.34000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.31941897543682E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.31941896543682E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.53476957958511E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.56172605657951E+0001, 1.00000000000000E-0007, 4.51638890562016E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 1.61600000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.61477132266150E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.74215663673145E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.72930245325824E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.74223669075157E+0002, 1.14055565898835E+0002, 5.28600137458534E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
