@mightex_spectrum_save,2,2,0
2017-01-03 3:17:32 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 1.15200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.07274549895343E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.07274549795343E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.32074241672493E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46535069380756E+0002, 1.00000000000000E-0007, 1.35444873407907E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 2.80400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.99786294329575E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.40760054303980E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.02651033872386E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.80035342252407E+0002, 1.59026240025595E+0002,-6.56613868135194E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 1.16000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.08209959528868E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.08209959428868E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.70268501303525E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.24340889354017E+0002, 1.00000000000000E-0007, 6.03467347973912E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 1.66400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.67078376989305E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.11885121620986E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.29812495048755E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.53306667644148E+0002, 5.51932553683192E+0001,-5.70439580362871E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 8.30000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.95984395825224E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.42932890590304E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.49008893243230E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.26911634392541E+0002, 2.53051505234920E+0001, 3.60583492083327E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 9.20000000000005E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06121121795971E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.85151638651497E+0001, 1.00000000000000E-0007, 8.68587750170006E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 1.72000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.66030058391129E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.02300577190803E+0001, 1.00000000000000E-0007, 8.77981327863856E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 2.05200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.12314671769024E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.82591058701882E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.97794919417492E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.47009454052539E+0002, 1.14055565898835E+0002, 1.31328234664118E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 1.16240940039139E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 1.16216544552882E+0003, 1.42000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.54280213898561E-0010, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.52839712826015E+0002, 1.00000000000000E-0007, 9.18423621272729E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 1.16192148109885E+0003, 2.61400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.77710813370368E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00832915131050E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.19049424324988E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.16041677067377E+0002, 1.76877898239318E+0002, 1.39923889943598E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 1.16167750710410E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.22223520490657E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.49997371021778E+0001, 1.00000000000000E-0007, 8.65320997557897E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 1.16143352354720E+0003, 2.45999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.13678672649833E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.13678662649833E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.94401748040955E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.88230625788273E+0001, 1.00000000000000E-0007, 1.40406116736895E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 1.16118953043078E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 1.16094552775746E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 1.16070151552986E+0003, 1.92400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.97399291617426E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.34592616124976E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.18311371366927E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.87373639747412E+0002, 6.28066754924497E+0001,-3.36183540926367E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 1.16045749375061E+0003, 7.28000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.76532024748984E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.76532023748984E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.44701043036881E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.98429763634833E+0001, 1.00000000000000E-0007,-1.60471662710291E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
