@mightex_spectrum_save,2,2,0
2017-01-03 3:17:08 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 7.82000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.39777869223815E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.39777868223815E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.36603927597303E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46535069380756E+0002, 1.00000000000000E-0007, 3.59912361490917E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 2.10000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.17905932862314E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.88796928367195E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.10258078009485E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.80035342252407E+0002, 1.59026240025595E+0002, 3.12852503186504E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 6.78000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.17958294283313E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.17958293283313E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.16563124145434E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.24340889354017E+0002, 1.00000000000000E-0007, 3.80319177843576E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 8.12000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.74908271143463E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.22975717460271E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.02155048766174E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.53306667644148E+0002, 5.51932553683192E+0001, 9.01909015273726E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 9.92000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.85598213368146E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.32546708133226E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.98415067429310E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.26911634392541E+0002, 2.53051505234920E+0001, 2.05828822755290E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.90000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06121121795971E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.85151638651497E+0001, 1.00000000000000E-0007, 8.68587750170006E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 8.68000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.40473227808556E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.40473226808556E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.22940813084093E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.02300577190803E+0001, 1.00000000000000E-0007,-8.96960817750296E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 1.76600000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.78977356248939E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.49217903501032E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.62831196478392E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.47009454052539E+0002, 1.14055565898835E+0002, 3.11310554654190E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
