@mightex_spectrum_save,2,2,0
2017-01-03 3:17:19 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 5.02000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.11680902755247E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.11680901755247E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.12700552210732E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46535069380756E+0002, 1.00000000000000E-0007, 6.72231382289083E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 2.43800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.57246877717757E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.82206376921626E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.50743720068135E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.80035342252407E+0002, 1.59026240025595E+0002, 9.06152894585186E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 4.82000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.88230625788273E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.88230624788273E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.31806790417620E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.24340889354017E+0002, 1.00000000000000E-0007, 6.34873845858745E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 9.34000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.17726519677123E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.65793965993931E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73374041767633E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.53306667644148E+0002, 5.51932553683192E+0001, 5.67183262812278E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 9.14000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.94318679341620E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.41267174106700E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.26491374646192E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.26911634392541E+0002, 2.53051505234920E+0001, 2.73509733196243E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06121121795971E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.85151638651497E+0001, 1.00000000000000E-0007, 8.68587750170006E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 8.48000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.17058934036927E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.17058933036927E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.19053336522002E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.02300577190803E+0001, 1.00000000000000E-0007,-7.57415719259569E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 1.86200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.90171850853935E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.61162849550991E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.08151302333996E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.47009454052539E+0002, 1.14055565898835E+0002, 2.42223459216916E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 1.16240940039139E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 1.16216544552882E+0003, 7.02000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.46075217541770E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.46075216541770E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.57286209483653E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.52839712826015E+0002, 1.00000000000000E-0007, 4.46983746067944E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 1.16192148109885E+0003, 2.27200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.37932324381757E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.10544261424391E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.93184730282971E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.16041677067377E+0002, 1.76877898239318E+0002, 3.57809059375848E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 1.16167750710410E+0003, 1.85999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.22223520490657E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.49997371021778E+0001, 1.00000000000000E-0007, 8.65320997557897E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 1.16143352354720E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.46944394706542E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.88230625788273E+0001, 1.00000000000000E-0007, 8.45974012314679E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 1.16118953043078E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 1.16094552775746E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
