@mightex_spectrum_save,2,2,0
2017-01-03 2:55:03 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 1.21599999999999E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.14756957159000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.14756957059000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.04248039938755E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.10080685571085E+0002, 1.00000000000000E-0007,-1.80678985555666E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 1.73800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75711465709410E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.66852256838154E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.42286408378688E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.07682903831214E+0002, 1.59026240025595E+0002, 9.49852296734740E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 7.44000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.95273025724994E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.95273024724994E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.01375020300784E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.42814549549558E+0001, 1.00000000000000E-0007, 9.61641985218125E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 1.16400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.08677652691345E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.34843973230267E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.58705803073507E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.49103797219770E+0002, 5.51932553683192E+0001, 2.44487239958727E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 1.59200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.58676095276380E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.33370944752888E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.63939448722011E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.38360293200689E+0002, 2.53051505234920E+0001,-7.17709051587831E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.20000000000005E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.39004638921485E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.19400451494886E+0001, 1.00000000000000E-0007, 8.85697070544160E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 4.98000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.06991005385128E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.06991004385128E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.67850991854964E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.56172605657951E+0001, 1.00000000000000E-0007, 3.29892444809955E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 2.16800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.25825016501292E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.11769450602457E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.07584987026864E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.74223669075157E+0002, 1.14055565898835E+0002, 1.56252916204256E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
