@mightex_spectrum_save,2,2,0
2017-01-03 3:16:56 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
10, 1.16240940039139E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 1.16216544552882E+0003, 8.92000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.68567797545540E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.68567796545540E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.02858702319362E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.52839712826015E+0002, 1.00000000000000E-0007, 2.98554029418594E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
12, 1.16192148109885E+0003, 2.69600000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.87240193361939E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.10362295122621E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.49201713352172E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.16041677067377E+0002, 1.76877898239318E+0002, 1.00705489388809E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
13, 1.16167750710410E+0003, 1.25999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.22223520490657E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.49997371021778E+0001, 1.00000000000000E-0007, 8.65320997557897E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
14, 1.16143352354720E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.46944394706542E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.88230625788273E+0001, 1.00000000000000E-0007, 8.45974012314679E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
15, 1.16118953043078E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
16, 1.16094552775746E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
17, 1.16070151552986E+0003, 1.49200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.47002128138199E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.41954526457492E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.49345237458419E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.87373639747412E+0002, 6.28066754924497E+0001, 1.70114244547642E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
18, 1.16045749375061E+0003, 3.72000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.59218756727686E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.59218755727686E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.99615616753002E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.98429763634833E+0001, 1.00000000000000E-0007, 3.98357547040903E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
19, 1.16021346242235E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
