@mightex_spectrum_save,2,2,0
2017-01-03 3:17:44 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 1.12400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.04000371355317E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.04000371255317E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.09730248839500E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.46535069380756E+0002, 1.00000000000000E-0007, 1.48906684366063E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 2.30200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.41423867653281E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.23976276276864E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.94240101856208E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.80035342252407E+0002, 1.59026240025595E+0002, 1.66903331119858E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 7.20000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.67161053014399E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.67161052014399E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.56133983728879E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.24340889354017E+0002, 1.00000000000000E-0007, 3.40907569602036E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 1.03599999999999E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.37076140306653E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.85143586623461E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.51224289551090E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.53306667644148E+0002, 5.51932553683192E+0001, 4.06105709832313E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 3.04000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.94359973107694E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.87949824132726E-0010, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.26911634392541E+0002, 2.53051505234920E+0001, 9.00692142269890E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.06121121795971E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.85151638651497E+0001, 1.00000000000000E-0007, 8.68587750170006E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 7.40000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.90587893272798E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.90587892272798E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.80553422391466E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.02300577190803E+0001, 1.00000000000000E-0007, 8.52873945178858E-0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 1.01400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.11338356291116E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.04842804027777E-0010, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.47009454052539E+0002, 1.14055565898835E+0002, 9.12370104252510E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
