@mightex_spectrum_save,2,2,0
2017-01-03 2:54:37 PM
HRS-BD1-025
08-140513-003
100
0
3648
328600
 1.16484842223230E+0003
-2.43854246430248E-0001
-4.79814220617963E-0006
 4.37608702651841E-0010
 4.54024498676284E+0003
-3.84760048454191E+0000
 8.04072645756477E-0005
-1.05108087843893E-0007
0
5
1
1
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16484842223230E+0003, 1.02400000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.23037641373043E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.23037640373043E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 8.38510076117741E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.10080685571085E+0002, 1.00000000000000E-0007, 7.64917138487727E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16460456318817E+0003, 1.91000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.95767448985482E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.67412089598870E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.19412578672366E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.07682903831214E+0002, 1.59026240025595E+0002, 6.07030939466770E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16436069455037E+0003, 8.42000000000000E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.10034264196254E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.10034263196254E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.55870161168516E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.42814549549558E+0001, 1.00000000000000E-0007, 1.96010947099250E-0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16411681632155E+0003, 9.40000000000009E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16387292850431E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16362903110129E+0003, 9.04000000000001E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.82614026317172E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.30681472633980E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.54712003943112E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.49103797219770E+0002, 5.51932553683192E+0001, 6.09701631161335E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16338512411512E+0003, 1.04200000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.44095126722788E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.91043621487868E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.99452267339100E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.38360293200689E+0002, 2.53051505234920E+0001, 2.13784859737645E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16314120754842E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.39004638921485E-0009, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.19400451494886E+0001, 1.00000000000000E-0007, 8.85697070544160E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16289728140381E+0003, 3.85999999999999E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75641774398152E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75641773398152E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.67676175267991E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.56172605657951E+0001, 1.00000000000000E-0007, 5.72390281158679E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16265334568393E+0003, 2.00800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.07188388356198E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.31328224573622E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 3.39623573601289E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 2.74223669075157E+0002, 1.14055565898835E+0002, 2.35473267624474E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
10, 1.16240940039139E+0003, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
11, 1.16216544552882E+0003, 1.07800000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.86205364187965E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 9.86205363187965E+0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.28709346045884E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 7.66226690978905E+0001, 1.00000000000000E-0007,-1.09610084291575E-0001, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
